,forcing,trend,trend_min,trend_max,obs_name,domain,sf_best,sf_min,sf_max
0,Observation,1.214463461291011,0.9518431474897816,1.4890008040341933,era5,EU,1.0986241730058783,0.8610533985358804,1.3469752932691723
1,Forcing no 1 only,1.0140976399742307,0.7214339184903613,1.306786140071722,era5,EU,0.8945653574060236,0.6363980801252606,1.1527544926307132
2,Forcing no 2 only,0.058315511961319844,-0.089342145569348,0.20638043206713855,era5,EU,0.8669265724721512,-1.3281728553993797,3.0680804228548983
3,Forcing no 3 only,0.1420503093554603,0.06661155656315179,0.21761049207448444,era5,EU,0.9732877063589147,0.4564031532104158,1.491004262305525
4,Observation,0.9268577671333561,0.6964380379932962,1.1578975323969198,era5,EAS,1.053023132398461,0.7912383003029014,1.3155124009287409
5,Forcing no 1 only,0.8756930248318822,0.6280423009142663,1.1215927359870153,era5,EAS,0.8064086088640775,0.5783518925314028,1.0328528517319007
6,Forcing no 2 only,0.009721910148139378,-0.11099062865636496,0.12896559373029887,era5,EAS,1.1103346095620044,-12.676185487868551,14.729097469479157
7,Forcing no 3 only,0.04144283215333494,-0.014584534139948544,0.09674850353300442,era5,EAS,0.8853743156860369,-0.3115803448466174,2.066910866329122
8,Observation,1.068147093253918,0.6715868784135347,1.4630163498200952,era5,WNA,1.4497174620842503,0.9114954589042806,1.9856444520087844
9,Forcing no 1 only,1.0344208625152236,0.6070783185032443,1.4491258800225482,era5,WNA,0.5191963709112887,0.30470466252914846,0.7273450538032451
10,Forcing no 2 only,0.033892352551659,-0.11094174914793478,0.17330504042229794,era5,WNA,0.5035489576249881,-1.6482952033319667,2.5748455296158808
11,Forcing no 3 only,-0.00016612181296443308,-0.09602788958834851,0.09498341735903927,era5,WNA,-0.012900598255624722,-7.457282116105997,7.376171054415621
12,Observation,1.089995164282066,0.8198644206503621,1.3645797631495733,jra55,EU,1.1603550106621812,0.872787164328291,1.4526642112781638
13,Forcing no 1 only,0.9036553431762882,0.6155403472533559,1.203172804922785,jra55,EU,0.7971409587945603,0.5429862461296316,1.0613541219603955
14,Forcing no 2 only,0.04716983070058527,-0.09268681458079178,0.19607564402687627,jra55,EU,0.7012333130243948,-1.3778951736063783,2.914887999855644
15,Forcing no 3 only,0.1391699904051926,0.06623166636837792,0.21654309426447027,jra55,EU,0.9535525925291156,0.45380025527927176,1.4836907606947574
16,Observation,0.7827239582938762,0.5521347200623401,1.0118303256211723,jra55,EAS,1.1232385865397825,0.7923342782226594,1.452014918830555
17,Forcing no 1 only,0.7307680347435919,0.4816672103938434,0.9814644649303678,jra55,EAS,0.6729500151186549,0.44355792961090473,0.9038114628878892
18,Forcing no 2 only,0.013857440091570538,-0.10613178149722141,0.1370064466496525,jra55,EAS,1.5826514644910141,-12.1212589270217,15.647439354017632
19,Forcing no 3 only,0.03809848345871419,-0.015658426635668427,0.09380462960282486,jra55,EAS,0.8139264854325471,-0.33452271591818156,2.004018678923707
20,Observation,1.0620944315577354,0.6567103077588866,1.4693925151867715,jra55,WNA,1.4443515116179566,0.8930660942412443,1.99823973971636
21,Forcing no 1 only,1.026856762750501,0.5933340128989439,1.4536075898364245,jra55,WNA,0.5153997990425566,0.2978061226320537,0.7295945129500611
22,Forcing no 2 only,0.035325750826550366,-0.10647761722143972,0.17766751023249377,jra55,WNA,0.5248453903846454,-1.5819702418274286,2.639660066235796
23,Forcing no 3 only,-8.808201931580514e-05,-0.09693275745253731,0.09561237917451856,jra55,WNA,-0.006840226003196008,-7.52755185721955,7.425014632238625
24,Observation,1.0566034676774132,0.7963665537631418,1.3254566930306835,ncep2,EU,1.271170489957194,0.9580866363782191,1.5946203901833678
25,Forcing no 1 only,0.8755698262404459,0.5750988434870583,1.164464195883014,ncep2,EU,0.7723658981837466,0.5073116060903802,1.0272081193316618
26,Forcing no 2 only,0.044238538765436604,-0.10373148405865608,0.18847837024858735,ncep2,EU,0.6576563163594379,-1.5420867777353728,2.801945863274331
27,Forcing no 3 only,0.13679510267153075,0.060245440825157724,0.21092034875882779,ncep2,EU,0.9372805474653375,0.41278436622458187,1.445165331912111
28,Observation,0.7465804767806516,0.5158210590179564,0.9812405451771954,ncep2,EAS,1.13844539044564,0.7865650458286931,1.4962737579106962
29,Forcing no 1 only,0.6888345461004924,0.43578351199001114,0.9440300877282487,ncep2,EAS,0.6343342841688836,0.40130452761940566,0.8693388758200072
30,Forcing no 2 only,0.021192982291275895,-0.10011572494302828,0.14187235013152966,ncep2,EAS,2.4204401562322415,-11.434168046380163,16.203171814037383
31,Forcing no 3 only,0.03655294838888333,-0.018290875856621328,0.09224880709925334,ncep2,EAS,0.7809080602014387,-0.3907617036146791,1.970780475527472
32,Observation,0.7747298556610898,0.3791669416563537,1.1748410546418282,ncep2,WNA,2.0889003221066855,1.0223459710124396,3.1677181917448203
33,Forcing no 1 only,0.7537322312473907,0.3335587948484406,1.1712077665576421,ncep2,WNA,0.37831317337410547,0.1674197824565866,0.5878524341642368
34,Forcing no 2 only,0.02405688709764398,-0.11895810680564942,0.165005883209241,ncep2,WNA,0.3574204653765674,-1.7673966595185395,2.4515424346940686
35,Forcing no 3 only,-0.0030592626839446766,-0.09819299605499772,0.0887146977708157,ncep2,WNA,-0.23757457337914015,-7.625418787675291,6.889358205809448
